time,feature,component,id,parameter,value
1,topology,link,1,status,0
1,topology,link,2,status,0
1,topology,link,3,status,0
1,flow,node,1,real_power,12.0
1,flow,node,2,real_power,33.7
1,flow,node,3,real_power,14.4
1,flow,node,4,real_power,19.6
1,flow,node,5,real_power,12.0
1,flow,node,6,real_power,12.0
1,flow,node,7,real_power,34.8
1,flow,node,8,real_power,42.0
1,flow,node,9,real_power,12.0
1,flow,node,10,real_power,17.8
1,flow,node,11,real_power,12.0
1,flow,node,12,real_power,23.2
1,flow,node,13,real_power,12.0
1,flow,node,14,real_power,18.2
1,flow,node,15,real_power,20.2
1,flow,node,16,real_power,15.5
1,flow,node,17,real_power,21.0
1,flow,node,18,real_power,15.2
1,flow,node,19,real_power,21.5
1,topology,link,6,status,0
1,flow,link,6,current,0.0
1,flow,link,6,real_power_from,0.0
1,flow,link,6,reactive_power_from,0.0
1,flow,link,6,real_power_to,0.0
1,flow,link,6,reactive_power_to,0.0
1,topology,link,15,status,0
1,flow,link,15,current,0.0
1,flow,link,15,real_power_from,0.0
1,flow,link,15,reactive_power_from,0.0
1,flow,link,15,real_power_to,0.0
1,flow,link,15,reactive_power_to,0.0
1,flow,node,1,real_power,24.0
1,flow,node,2,real_power,45.7
1,flow,node,3,real_power,26.4
1,flow,node,4,real_power,31.6
1,flow,node,5,real_power,24.0
1,flow,node,6,real_power,24.0
1,flow,node,7,real_power,46.8
1,flow,node,8,real_power,54.0
1,flow,node,9,real_power,24.0
1,flow,node,10,real_power,29.8
1,flow,node,11,real_power,24.0
1,flow,node,12,real_power,35.2
1,flow,node,13,real_power,24.0
1,flow,node,14,real_power,30.2
1,flow,node,15,real_power,32.2
1,flow,node,16,real_power,27.5
1,flow,node,17,real_power,33.0
1,flow,node,18,real_power,27.2
1,flow,node,19,real_power,33.5
1,topology,link,5,status,0
1,flow,link,5,current,0.0
1,flow,link,5,real_power_from,0.0
1,flow,link,5,reactive_power_from,0.0
1,flow,link,5,real_power_to,0.0
1,flow,link,5,reactive_power_to,0.0
1,topology,link,8,status,0
1,flow,link,8,current,0.0
1,flow,link,8,real_power_from,0.0
1,flow,link,8,reactive_power_from,0.0
1,flow,link,8,real_power_to,0.0
1,flow,link,8,reactive_power_to,0.0
1,topology,link,9,status,0
